solver,problem,restarts,conflicts,decisions,propagations,conf_lits,num_ev,ev_decisions,ev_conflicts,ev_learnt,total_lbd,mem_used,cpu_time,er_add_time,er_delC_time,er_delV_time,er_sub_time,satisfiability
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_125_532_3.cnf,33,21433,32735,461920,221421,0,0,0,0,,15,0.843229,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_125_532_4.cnf,4,1124,2393,26902,13967,0,0,0,0,,13,0.024662,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_125_532_5.cnf,39,17568,27481,391101,187037,0,0,0,0,,15,0.694606,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_125_532_6.cnf,38,20238,30583,466562,222327,0,0,0,0,,15,0.767634,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_125_532_7.cnf,41,17229,26118,404601,177561,0,0,0,0,,15,0.637811,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_125_532_8.cnf,35,16905,26354,375954,175801,0,0,0,0,,15,0.565677,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_125_532_9.cnf,19,16385,27032,368053,190050,0,0,0,0,,15,0.625884,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_150_639_0.cnf,141,53524,72414,1438438,679976,0,0,0,0,,18,3.21116,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_150_639_1.cnf,35,36716,61089,970899,523821,0,0,0,0,,15,1.76494,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_150_639_2.cnf,144,54970,74467,1538021,712776,0,0,0,0,,18,2.40027,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_150_639_3.cnf,69,31854,46677,777977,351805,0,0,0,0,,15,2.42091,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_150_639_4.cnf,137,52518,69035,1345406,731244,0,0,0,0,,18,2.82518,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_150_639_5.cnf,28,22910,37140,608063,303300,0,0,0,0,,15,0.812336,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_150_639_6.cnf,51,16866,28554,447634,206536,0,0,0,0,,15,0.591692,0,0,0,0,SATISFIABLE
